,daytype,location
10,weekday,office
34,weekday,office
58,weekday,office
82,weekend,home
106,weekend,home
130,weekday,campus
154,weekday,home
178,weekday,appointment
202,weekday,office
226,weekday,office
250,weekend,home
274,weekend,home
298,weekday,office
322,weekday,home
346,weekday,office
370,weekday,office
394,weekday,campus
418,weekend,home
442,weekend,home
466,weekday,campus
490,weekday,office
514,weekday,office
538,weekday,office
562,weekday,office
586,weekend,home
610,weekend,home
634,weekday,home
658,weekday,home
682,weekday,office
706,weekday,home
730,weekday,office
754,weekend,home
778,weekend,home
802,weekday,office
826,weekday,office
850,weekday,office
874,weekday,office
898,weekday,office
922,weekend,home
946,weekend,home
970,weekday,campus
994,weekday,home
1018,weekday,home
1042,weekday,office
1066,weekday,home
1090,weekend,home
1114,weekend,home
1138,weekday,office
1162,weekday,office
1186,weekday,office
1210,weekday,campus
1234,weekday,home
1258,weekend,home
1282,weekend,home
1306,weekday,office
1330,weekday,office
1354,weekday,office
1378,weekday,campus
1402,weekday,office
1426,weekend,home
1450,weekend,home
1474,weekday,office
1498,weekday,office
1522,weekday,office
1546,weekday,home
1570,weekday,office
1594,weekend,home
1618,weekend,home
1642,weekday,campus
1666,weekday,home
1690,weekday,campus
1714,weekday,office
1738,weekday,office
1762,weekend,home
1786,weekend,home
1810,weekday,office
1834,weekday,office
1858,weekday,home
1882,weekday,campus
1906,weekday,campus
1930,weekend,home
1954,weekend,home
1978,weekday,home
2002,weekday,home
2026,weekday,office
2050,weekday,office
2074,weekday,home
2098,weekend,home
2122,weekend,home
2146,weekday,office
2170,weekday,office
